,Date,Close
0,"Feb 22, 2019",29.19
1,"Feb 21, 2019",29.19
2,"Feb 20, 2019",29.31
3,"Feb 19, 2019",29.15
4,"Feb 15, 2019",29.15
5,"Feb 14, 2019",28.55
6,"Feb 13, 2019",28.53
7,"Feb 12, 2019",28.39
8,"Feb 11, 2019",28.53
9,"Feb 08, 2019",29.19
10,"Feb 07, 2019",29.38
11,"Feb 06, 2019",29.62
12,"Feb 05, 2019",30.33
13,"Feb 04, 2019",29.45
14,"Feb 01, 2019",29.53
15,"Jan 31, 2019",29.42
16,"Jan 30, 2019",28.63
17,"Jan 29, 2019",28.85
18,"Jan 28, 2019",29.13
19,"Jan 25, 2019",28.99
20,"Jan 24, 2019",29.14
21,"Jan 23, 2019",29.15
22,"Jan 22, 2019",29.24
23,"Jan 18, 2019",30.08
24,"Jan 17, 2019",29.79
25,"Jan 16, 2019",29.59
26,"Jan 15, 2019",29.99
27,"Jan 14, 2019",29.88
28,"Jan 11, 2019",29.44
29,"Jan 10, 2019",29.33
