,Date,Close
0,"Feb 22, 2019",125.03
1,"Feb 21, 2019",124.53
2,"Feb 20, 2019",122.83
3,"Feb 19, 2019",124.43
4,"Feb 15, 2019",125.38
5,"Feb 14, 2019",123.84
6,"Feb 13, 2019",123.92
7,"Feb 12, 2019",123.70
8,"Feb 11, 2019",122.09
9,"Feb 08, 2019",121.98
10,"Feb 07, 2019",120.25
11,"Feb 06, 2019",119.64
12,"Feb 05, 2019",119.93
13,"Feb 04, 2019",119.35
14,"Feb 01, 2019",118.77
15,"Jan 31, 2019",117.41
16,"Jan 30, 2019",117.50
17,"Jan 29, 2019",116.23
18,"Jan 28, 2019",116.23
19,"Jan 25, 2019",117.24
20,"Jan 24, 2019",116.15
21,"Jan 23, 2019",116.81
22,"Jan 22, 2019",116.30
23,"Jan 18, 2019",115.70
24,"Jan 17, 2019",113.16
25,"Jan 16, 2019",112.98
26,"Jan 15, 2019",112.62
27,"Jan 14, 2019",111.18
28,"Jan 11, 2019",112.01
29,"Jan 10, 2019",112.64
