,Date,Close
0,"Feb 22, 2019",178.79
1,"Feb 21, 2019",176.00
2,"Feb 20, 2019",176.01
3,"Feb 19, 2019",175.68
4,"Feb 15, 2019",175.40
5,"Feb 14, 2019",175.11
6,"Feb 13, 2019",174.28
7,"Feb 12, 2019",174.29
8,"Feb 11, 2019",170.53
9,"Feb 08, 2019",173.09
10,"Feb 07, 2019",173.05
11,"Feb 06, 2019",173.89
12,"Feb 05, 2019",173.78
13,"Feb 04, 2019",173.29
14,"Feb 01, 2019",170.52
15,"Jan 31, 2019",169.27
16,"Jan 30, 2019",168.25
17,"Jan 29, 2019",164.41
18,"Jan 28, 2019",166.16
19,"Jan 25, 2019",165.96
20,"Jan 24, 2019",163.48
21,"Jan 23, 2019",163.09
22,"Jan 22, 2019",163.07
23,"Jan 18, 2019",164.44
24,"Jan 17, 2019",163.42
25,"Jan 16, 2019",161.63
26,"Jan 15, 2019",160.45
27,"Jan 14, 2019",157.00
28,"Jan 11, 2019",157.93
29,"Jan 10, 2019",157.76
