,Date,Close
0,"Feb 22, 2019",185.76
1,"Feb 21, 2019",183.06
2,"Feb 20, 2019",187.84
3,"Feb 19, 2019",186.86
4,"Feb 15, 2019",188.07
5,"Feb 14, 2019",185.72
6,"Feb 13, 2019",185.25
7,"Feb 12, 2019",184.01
8,"Feb 11, 2019",181.53
9,"Feb 08, 2019",181.34
10,"Feb 07, 2019",180.18
11,"Feb 06, 2019",182.39
12,"Feb 05, 2019",187.02
13,"Feb 04, 2019",187.98
14,"Feb 01, 2019",191.52
15,"Jan 31, 2019",190.91
16,"Jan 30, 2019",187.05
17,"Jan 29, 2019",186.38
18,"Jan 28, 2019",188.09
19,"Jan 25, 2019",189.50
20,"Jan 24, 2019",186.58
21,"Jan 23, 2019",189.89
22,"Jan 22, 2019",193.88
23,"Jan 18, 2019",194.70
24,"Jan 17, 2019",190.52
25,"Jan 16, 2019",186.15
26,"Jan 15, 2019",186.68
27,"Jan 14, 2019",183.91
28,"Jan 11, 2019",188.16
29,"Jan 10, 2019",186.03
