,Date,Close
0,"Feb 22, 2019",64.25
1,"Feb 21, 2019",63.98
2,"Feb 20, 2019",63.33
3,"Feb 19, 2019",64.73
4,"Feb 15, 2019",65.21
5,"Feb 14, 2019",64.74
6,"Feb 13, 2019",64.22
7,"Feb 12, 2019",63.44
8,"Feb 11, 2019",63.75
9,"Feb 08, 2019",64.27
10,"Feb 07, 2019",64.45
11,"Feb 06, 2019",63.87
12,"Feb 05, 2019",64.31
13,"Feb 04, 2019",63.54
14,"Feb 01, 2019",63.41
15,"Jan 31, 2019",64.49
16,"Jan 30, 2019",63.88
17,"Jan 29, 2019",63.54
18,"Jan 28, 2019",63.20
19,"Jan 25, 2019",62.43
20,"Jan 24, 2019",61.95
21,"Jan 23, 2019",61.92
22,"Jan 22, 2019",61.72
23,"Jan 18, 2019",61.04
24,"Jan 17, 2019",60.53
25,"Jan 16, 2019",60.66
26,"Jan 15, 2019",60.60
27,"Jan 14, 2019",60.08
28,"Jan 11, 2019",60.12
29,"Jan 10, 2019",59.29
