,Date,Close
0,"Feb 22, 2019",76.64
1,"Feb 21, 2019",75.72
2,"Feb 20, 2019",75.10
3,"Feb 19, 2019",74.91
4,"Feb 15, 2019",74.47
5,"Feb 14, 2019",74.27
6,"Feb 13, 2019",74.18
7,"Feb 12, 2019",75.04
8,"Feb 11, 2019",75.03
9,"Feb 08, 2019",74.72
10,"Feb 07, 2019",73.99
11,"Feb 06, 2019",73.16
12,"Feb 05, 2019",73.03
13,"Feb 04, 2019",73.09
14,"Feb 01, 2019",72.81
15,"Jan 31, 2019",73.03
16,"Jan 30, 2019",71.44
17,"Jan 29, 2019",71.13
18,"Jan 28, 2019",70.94
19,"Jan 25, 2019",71.04
20,"Jan 24, 2019",72.22
21,"Jan 23, 2019",71.80
22,"Jan 22, 2019",71.01
23,"Jan 18, 2019",70.86
24,"Jan 17, 2019",70.93
25,"Jan 16, 2019",70.29
26,"Jan 15, 2019",69.91
27,"Jan 14, 2019",68.61
28,"Jan 11, 2019",69.44
29,"Jan 10, 2019",69.45
