,Date,Close
0,"Feb 22, 2019",75.44
1,"Feb 21, 2019",74.44
2,"Feb 20, 2019",75.75
3,"Feb 19, 2019",76.76
4,"Feb 15, 2019",77.61
5,"Feb 14, 2019",77.47
6,"Feb 13, 2019",77.56
7,"Feb 12, 2019",76.65
8,"Feb 11, 2019",77.43
9,"Feb 08, 2019",77.21
10,"Feb 07, 2019",77.05
11,"Feb 06, 2019",76.75
12,"Feb 05, 2019",77.46
13,"Feb 04, 2019",77.15
14,"Feb 01, 2019",76.31
15,"Jan 31, 2019",77.49
16,"Jan 30, 2019",76.60
17,"Jan 29, 2019",75.99
18,"Jan 28, 2019",75.46
19,"Jan 25, 2019",74.94
20,"Jan 24, 2019",74.31
21,"Jan 23, 2019",74.17
22,"Jan 22, 2019",73.41
23,"Jan 18, 2019",73.04
24,"Jan 17, 2019",72.71
25,"Jan 16, 2019",72.59
26,"Jan 15, 2019",72.39
27,"Jan 14, 2019",71.17
28,"Jan 11, 2019",71.46
29,"Jan 10, 2019",71.24
