,Date,Close
0,"Feb 22, 2019",27.11
1,"Feb 21, 2019",27.06
2,"Feb 20, 2019",27.35
3,"Feb 19, 2019",27.42
4,"Feb 15, 2019",27.27
5,"Feb 14, 2019",26.86
6,"Feb 13, 2019",27.03
7,"Feb 12, 2019",26.73
8,"Feb 11, 2019",26.72
9,"Feb 08, 2019",26.88
10,"Feb 07, 2019",26.68
11,"Feb 06, 2019",27.06
12,"Feb 05, 2019",27.35
13,"Feb 04, 2019",27.37
14,"Feb 01, 2019",27.43
15,"Jan 31, 2019",26.93
16,"Jan 30, 2019",27.02
17,"Jan 29, 2019",26.68
18,"Jan 28, 2019",26.58
19,"Jan 25, 2019",26.67
20,"Jan 24, 2019",26.50
21,"Jan 23, 2019",25.82
22,"Jan 22, 2019",26.16
23,"Jan 18, 2019",26.40
24,"Jan 17, 2019",26.16
25,"Jan 16, 2019",25.86
26,"Jan 15, 2019",25.45
27,"Jan 14, 2019",25.31
28,"Jan 11, 2019",25.04
29,"Jan 10, 2019",25.15
