,Date,Close
0,"Feb 22, 2019",99.55
1,"Feb 21, 2019",99.39
2,"Feb 20, 2019",99.88
3,"Feb 19, 2019",102.20
4,"Feb 15, 2019",99.99
5,"Feb 14, 2019",98.52
6,"Feb 13, 2019",97.94
7,"Feb 12, 2019",96.97
8,"Feb 11, 2019",96.20
9,"Feb 08, 2019",95.58
10,"Feb 07, 2019",96.73
11,"Feb 06, 2019",95.64
12,"Feb 05, 2019",95.60
13,"Feb 04, 2019",94.77
14,"Feb 01, 2019",93.86
15,"Jan 31, 2019",95.83
16,"Jan 30, 2019",94.80
17,"Jan 29, 2019",96.71
18,"Jan 28, 2019",97.06
19,"Jan 25, 2019",96.94
20,"Jan 24, 2019",98.36
21,"Jan 23, 2019",98.71
22,"Jan 22, 2019",97.49
23,"Jan 18, 2019",97.73
24,"Jan 17, 2019",96.74
25,"Jan 16, 2019",96.35
26,"Jan 15, 2019",96.25
27,"Jan 14, 2019",94.95
28,"Jan 11, 2019",94.84
29,"Jan 10, 2019",94.96
