,Date,Close
0,"Feb 22, 2019",39.27
1,"Feb 21, 2019",39.26
2,"Feb 20, 2019",40.32
3,"Feb 19, 2019",39.26
4,"Feb 15, 2019",39.05
5,"Feb 14, 2019",38.38
6,"Feb 13, 2019",39.14
7,"Feb 12, 2019",38.71
8,"Feb 11, 2019",37.67
9,"Feb 08, 2019",37.81
10,"Feb 07, 2019",37.90
11,"Feb 06, 2019",38.64
12,"Feb 05, 2019",38.26
13,"Feb 04, 2019",38.00
14,"Feb 01, 2019",38.70
15,"Jan 31, 2019",40.71
16,"Jan 30, 2019",41.46
17,"Jan 29, 2019",41.45
18,"Jan 28, 2019",41.68
19,"Jan 25, 2019",42.29
20,"Jan 24, 2019",41.83
21,"Jan 23, 2019",41.03
22,"Jan 22, 2019",41.26
23,"Jan 18, 2019",41.42
24,"Jan 17, 2019",40.57
25,"Jan 16, 2019",40.32
26,"Jan 15, 2019",40.38
27,"Jan 14, 2019",40.20
28,"Jan 11, 2019",40.95
29,"Jan 10, 2019",40.29
