,Date,Close
0,"Feb 22, 2019",26.09
1,"Feb 21, 2019",25.74
2,"Feb 20, 2019",25.87
3,"Feb 19, 2019",25.59
4,"Feb 15, 2019",25.54
5,"Feb 14, 2019",25.42
6,"Feb 13, 2019",25.39
7,"Feb 12, 2019",25.33
8,"Feb 11, 2019",25.40
9,"Feb 08, 2019",25.65
10,"Feb 07, 2019",25.91
11,"Feb 06, 2019",26.27
12,"Feb 05, 2019",26.48
13,"Feb 04, 2019",26.15
14,"Feb 01, 2019",26.75
15,"Jan 31, 2019",26.24
16,"Jan 30, 2019",26.21
17,"Jan 29, 2019",25.85
18,"Jan 28, 2019",25.80
19,"Jan 25, 2019",25.70
20,"Jan 24, 2019",25.17
21,"Jan 23, 2019",24.29
22,"Jan 22, 2019",24.55
23,"Jan 18, 2019",25.08
24,"Jan 17, 2019",24.64
25,"Jan 16, 2019",24.38
26,"Jan 15, 2019",24.11
27,"Jan 14, 2019",24.08
28,"Jan 11, 2019",24.21
29,"Jan 10, 2019",24.30
