,Date,Close
0,"Jan 18, 2019",72.99
1,"Jan 17, 2019",72.13
2,"Jan 16, 2019",71.64
3,"Jan 15, 2019",71.67
4,"Jan 14, 2019",71.63
5,"Jan 11, 2019",71.72
6,"Jan 10, 2019",72.05
7,"Jan 09, 2019",72.42
8,"Jan 08, 2019",72.04
9,"Jan 07, 2019",71.52
10,"Jan 04, 2019",71.15
11,"Jan 03, 2019",68.62
12,"Jan 02, 2019",69.69
13,"Dec 31, 2018",68.19
14,"Dec 28, 2018",68.17
15,"Dec 27, 2018",68.94
16,"Dec 26, 2018",68.64
17,"Dec 24, 2018",65.51
18,"Dec 21, 2018",68.12
19,"Dec 20, 2018",68.63
20,"Dec 19, 2018",70.78
21,"Dec 18, 2018",72.00
22,"Dec 17, 2018",74.04
23,"Dec 14, 2018",75.58
24,"Dec 13, 2018",76.98
25,"Dec 12, 2018",76.02
26,"Dec 11, 2018",76.68
27,"Dec 10, 2018",76.54
28,"Dec 07, 2018",77.64
29,"Dec 06, 2018",78.39
