,Date,Close
0,"Jan 18, 2019",40.83
1,"Jan 17, 2019",40.25
2,"Jan 16, 2019",40.15
3,"Jan 15, 2019",39.81
4,"Jan 14, 2019",40.07
5,"Jan 11, 2019",40.71
6,"Jan 10, 2019",40.04
7,"Jan 09, 2019",39.65
8,"Jan 08, 2019",39.44
9,"Jan 07, 2019",39.71
10,"Jan 04, 2019",39.01
11,"Jan 03, 2019",37.91
12,"Jan 02, 2019",37.89
13,"Dec 31, 2018",37.21
14,"Dec 28, 2018",37.10
15,"Dec 27, 2018",37.12
16,"Dec 26, 2018",37.19
17,"Dec 24, 2018",35.46
18,"Dec 21, 2018",35.65
19,"Dec 20, 2018",35.48
20,"Dec 19, 2018",35.96
21,"Dec 18, 2018",36.51
22,"Dec 17, 2018",37.17
23,"Dec 14, 2018",36.97
24,"Dec 13, 2018",37.72
25,"Dec 12, 2018",38.12
26,"Dec 11, 2018",37.00
27,"Dec 10, 2018",36.46
28,"Dec 07, 2018",36.31
29,"Dec 06, 2018",36.47
