,Date,Close
0,"Feb 22, 2019",31.49
1,"Feb 21, 2019",31.33
2,"Feb 20, 2019",30.87
3,"Feb 19, 2019",30.65
4,"Feb 15, 2019",30.46
5,"Feb 14, 2019",29.83
6,"Feb 13, 2019",30.00
7,"Feb 12, 2019",30.09
8,"Feb 11, 2019",29.29
9,"Feb 08, 2019",29.09
10,"Feb 07, 2019",28.98
11,"Feb 06, 2019",29.43
12,"Feb 05, 2019",28.98
13,"Feb 04, 2019",28.68
14,"Feb 01, 2019",28.52
15,"Jan 31, 2019",28.21
16,"Jan 30, 2019",28.16
17,"Jan 29, 2019",27.07
18,"Jan 28, 2019",24.30
19,"Jan 25, 2019",24.54
20,"Jan 24, 2019",23.92
21,"Jan 23, 2019",23.57
22,"Jan 22, 2019",23.38
23,"Jan 18, 2019",23.43
24,"Jan 17, 2019",23.12
25,"Jan 16, 2019",23.11
26,"Jan 15, 2019",22.81
27,"Jan 14, 2019",22.30
28,"Jan 11, 2019",22.14
29,"Jan 10, 2019",22.15
