,Date,Close
0,"Feb 22, 2019",74.80
1,"Feb 21, 2019",74.32
2,"Feb 20, 2019",74.07
3,"Feb 19, 2019",73.26
4,"Feb 15, 2019",73.93
5,"Feb 14, 2019",72.48
6,"Feb 13, 2019",72.68
7,"Feb 12, 2019",72.90
8,"Feb 11, 2019",71.41
9,"Feb 08, 2019",70.59
10,"Feb 07, 2019",70.37
11,"Feb 06, 2019",71.56
12,"Feb 05, 2019",70.74
13,"Feb 04, 2019",70.32
14,"Feb 01, 2019",70.15
15,"Jan 31, 2019",71.26
16,"Jan 30, 2019",71.99
17,"Jan 29, 2019",70.49
18,"Jan 28, 2019",69.35
19,"Jan 25, 2019",69.86
20,"Jan 24, 2019",68.63
21,"Jan 23, 2019",68.39
22,"Jan 22, 2019",69.27
23,"Jan 18, 2019",71.21
24,"Jan 17, 2019",70.15
25,"Jan 16, 2019",68.97
26,"Jan 15, 2019",68.85
27,"Jan 14, 2019",69.16
28,"Jan 11, 2019",69.32
29,"Jan 10, 2019",68.91
