,Date,Close
0,"Feb 22, 2019",124.44
1,"Feb 21, 2019",123.48
2,"Feb 20, 2019",123.98
3,"Feb 19, 2019",123.56
4,"Feb 15, 2019",123.65
5,"Feb 14, 2019",122.49
6,"Feb 13, 2019",123.56
7,"Feb 12, 2019",123.95
8,"Feb 11, 2019",122.23
9,"Feb 08, 2019",120.58
10,"Feb 07, 2019",118.29
11,"Feb 06, 2019",118.18
12,"Feb 05, 2019",118.32
13,"Feb 04, 2019",118.08
14,"Feb 01, 2019",116.60
15,"Jan 31, 2019",109.56
16,"Jan 30, 2019",108.46
17,"Jan 29, 2019",105.66
18,"Jan 28, 2019",105.84
19,"Jan 25, 2019",107.41
20,"Jan 24, 2019",105.24
21,"Jan 23, 2019",104.78
22,"Jan 22, 2019",103.92
23,"Jan 18, 2019",105.34
24,"Jan 17, 2019",106.22
25,"Jan 16, 2019",105.00
26,"Jan 15, 2019",104.17
27,"Jan 14, 2019",102.69
28,"Jan 11, 2019",104.28
29,"Jan 10, 2019",103.72
